Timestamp,SkillLevel,ChosenTactic,RemoteX,RemoteY,PlayerHP,BossHP,WayMultiplier,SpeedMultiplier
0.19,0.48,0,-4.00,0.76,1.00,1.00,1.48,1.24
0.39,0.48,1,-4.00,-2.29,1.00,1.00,1.48,1.24
0.60,0.47,0,-3.18,-1.60,1.00,1.00,1.47,1.24
0.82,0.47,0,-4.00,-2.14,1.00,1.00,1.47,1.24
1.02,0.47,2,-3.31,-2.45,1.00,1.00,1.47,1.24
1.24,0.47,1,-1.94,-0.49,1.00,1.00,1.47,1.24
1.45,0.47,1,-4.00,0.13,1.00,1.00,1.47,1.24
1.65,0.48,2,-3.78,-3.50,1.00,1.00,1.48,1.24
1.87,0.48,2,-2.81,-0.13,1.00,1.00,1.48,1.24
2.07,0.48,1,-4.00,-0.90,1.00,1.00,1.48,1.24
2.29,0.48,1,-2.79,-0.29,1.00,1.00,1.48,1.24
2.50,0.49,2,-2.98,1.51,1.00,1.00,1.49,1.24
2.72,0.49,2,-2.20,1.46,1.00,1.00,1.49,1.24
2.94,0.49,2,-0.50,-0.01,1.00,1.00,1.49,1.24
3.15,0.50,2,-2.45,0.27,1.00,1.00,1.50,1.25
3.35,0.50,1,-0.52,1.02,1.00,1.00,1.50,1.25
3.55,0.50,2,-1.31,2.91,1.00,1.00,1.50,1.25
3.77,0.50,2,-4.00,2.12,1.00,1.00,1.50,1.25
3.99,0.50,1,-0.64,0.92,1.00,1.00,1.50,1.25
4.20,0.51,0,-1.86,3.14,1.00,1.00,1.51,1.25
4.40,0.51,2,-0.04,-0.18,1.00,1.00,1.51,1.25
4.62,0.52,1,-1.76,1.86,1.00,1.00,1.52,1.26
4.82,0.52,2,-0.62,1.79,1.00,1.00,1.52,1.26
5.04,0.53,0,-1.19,0.22,1.00,1.00,1.53,1.26
5.24,0.53,1,0.43,-0.10,1.00,1.00,1.53,1.26
5.44,0.53,1,-0.24,-2.63,1.00,1.00,1.53,1.26
5.64,0.54,0,1.07,0.08,1.00,1.00,1.54,1.27
5.84,0.54,2,-1.97,0.11,1.00,1.00,1.54,1.27
6.05,0.55,0,-1.56,-1.52,1.00,1.00,1.55,1.27
6.27,0.55,2,-3.70,1.15,1.00,1.00,1.55,1.27
6.49,0.55,2,-2.50,-3.14,1.00,1.00,1.55,1.27
6.69,0.56,0,-3.97,-2.11,1.00,1.00,1.56,1.28
6.89,0.56,1,-3.06,2.24,1.00,1.00,1.56,1.28
7.10,0.57,2,-3.25,-4.00,1.00,1.00,1.57,1.28
7.32,0.57,2,-3.25,-0.94,1.00,1.00,1.57,1.28
7.52,0.57,2,-3.55,-2.34,1.00,1.00,1.57,1.28
7.74,0.58,2,-2.66,-1.54,1.00,1.00,1.58,1.29
7.94,0.58,2,-3.35,-3.84,1.00,1.00,1.58,1.29
8.14,0.58,1,-1.67,-2.12,1.00,1.00,1.58,1.29
8.35,0.58,2,-3.63,-1.03,1.00,1.00,1.58,1.29
8.55,0.58,2,-2.97,-0.99,1.00,1.00,1.58,1.29
8.77,0.59,1,-0.85,-1.00,1.00,1.00,1.59,1.30
8.97,0.59,2,-2.37,-1.27,1.00,1.00,1.59,1.30
9.19,0.60,1,0.13,-1.24,1.00,1.00,1.60,1.30
9.40,0.60,2,-2.87,0.64,1.00,1.00,1.60,1.30
9.60,0.61,2,-1.78,-0.99,1.00,1.00,1.61,1.31
9.80,0.61,1,-2.99,-0.77,1.00,1.00,1.61,1.31
10.00,0.61,1,-2.25,-1.62,1.00,1.00,1.61,1.31
10.22,0.62,2,-4.00,0.36,1.00,1.00,1.62,1.31
10.42,0.62,2,-2.84,1.04,1.00,1.00,1.62,1.31
10.64,0.62,2,-1.21,-2.75,1.00,1.00,1.62,1.31
10.84,0.62,2,-1.51,-1.38,1.00,1.00,1.62,1.31
11.04,0.62,0,-0.82,0.50,1.00,1.00,1.62,1.31
11.25,0.63,1,-3.56,-1.41,1.00,1.00,1.63,1.32
11.45,0.63,0,0.25,-0.04,1.00,1.00,1.63,1.32
11.67,0.64,2,-1.38,-0.58,1.00,1.00,1.64,1.32
11.87,0.64,1,-1.68,-0.96,1.00,1.00,1.64,1.32
12.07,0.64,0,2.30,1.12,1.00,1.00,1.64,1.32
12.29,0.65,2,-2.92,-3.00,1.00,1.00,1.65,1.32
12.49,0.65,2,-1.03,-2.11,1.00,1.00,1.65,1.32
12.70,0.66,1,-0.17,0.74,1.00,1.00,1.66,1.33
12.92,0.66,2,-1.67,0.26,1.00,1.00,1.66,1.33
13.14,0.66,0,-0.42,-1.89,1.00,1.00,1.66,1.33
